taxon,species,color_desc,flowering_months,family,color_id,red,orange,yellow,green,blue,purple,pink,white,brown,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,inat_phen,ob_num
Agrimonia gryposepala Wallr.,Agrimonia gryposepala,Yellow,"jun, sep",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,65
Agrimonia rostellata Wallr.,Agrimonia rostellata,Yellow,"jul, sep",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,5
Agrimonia striata Michx.,Agrimonia striata,Yellow,"jun, sep",Rosaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,19
Agrostemma githago L.,Agrostemma githago,Purplish red,"may,sep",Caryophyllaceae,red,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,4
Ajuga reptans L.,Ajuga reptans,Blue,"may, jun",Lamiaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,809
Aletris farinosa L.,Aletris farinosa,Whitish,"may,aug",Nartheciaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,27
Alisma subcordatum Raf.,Alisma subcordatum,White,"jun, oct",Alismataceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,26
Alisma triviale Pursh,Alisma triviale,White,"mar, nov",Alismataceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,112
Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata,White,"may, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,5392
Allium canadense L.,Allium canadense,"Whitish, pink","jun,jul",Amaryllidaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,108
Allium cernuum Roth,Allium cernuum,"Pink, white","jul,aug",Amaryllidaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,194
Allium tricoccum Aiton,Allium tricoccum,White,"jun,jul",Amaryllidaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,743
Allium vineale L.,Allium vineale,"Purplish, greenish","may,jul",Amaryllidaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,57
Althaea officinalis L.,Althaea offinalis,Pale-rose,"jul, sep",Malvaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,17
Amaranthus cannabinus (L.) Sauer,Acnida cannabina,Green,"jun,nov",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,6
Amaranthus hybridus L.,Amaranthus hybridus,Green,"jun,nov",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,20
Amaranthus retroflexus L.,Amaranthus retroflexus,Green,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,9
Ambrosia artemisiifolia L.,Ambrosia artemisiifolia,Green,"jul,sep",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,375
Ambrosia trifida L.,Ambrosia trifida,Green,"jul,sep",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,237
Amianthium muscitoxicum (Walter) A.Gray,Amianthium muscaetoxicum,"White, green","apr,aug",Melanthiaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,84
Anaphalis margaritacea (L.) Benth. & Hook.f.,Anaphalis margaritacea,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,1072
Anchusa arvensis (L.) M.Bieb.,Lycopsis arvensis,Blue,"jun, sep",Boraginaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Andersonglossum virginianum (L.) J.I.Cohen,Cynoglossum virginianum,"Blue, pale-lilac","apr,jun",Boraginaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,63
Anemone americana (DC.) H.Hara,Hepatica americana,"Blue, pink, white","apr,may",Ranunculaceae,blue,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,1116
Anemone cylindrica A.Gray,Anemone cylindrica,Greenish white,"jun,aug",Ranunculaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,43
Anemone lancifolia Pursh,Anemone lancifolia,White,"apr,jun",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,10
Anemone quinquefolia L.,Anemone quinquefolia,"White, pinkish","apr,jun",Ranunculaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,3729
Anemone virginiana L.,Anemone riparia,White,"jun,aug",Ranunculaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,316
Angelica atropurpurea L.,Angelica atropurpurea,Greenish white,jun,Apiaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,110
Angelica lucida L.,Coelopleurum lucidum,Greenish white,"may, sep",Apiaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,2
Angelica venenosa (Greenway) Fernald,Angelica venenosa,White,"may, jul",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,9
Antennaria neglecta Greene,Antennaria neglecta,White,"apr,jun",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,44
Antennaria parlinii Fernald,Antennaria parlinii,White,"apr,jun",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,12
Antennaria plantaginifolia (L.) Richardson,Antennaria plantaginifolia,White,"apr,jun",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,19
Antennaria solitaria Rydb.,Antennaria solitaria,White,"mar,apr",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,6
Anthemis cotula L.,Anthemis cotula,White,"jun,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,TRUE,12
Aplectrum hyemale (Muhl. ex Willd.) Nutt.,Aplectrum hyemale,"Purplish,yellowish-brown, white ","May, June",Orchidaceae,yellow,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,86
Apocynum androsaemifolium L.,Apocynum androsaemifolium,Pink,"jun, aug",Apocynaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,1414
Apocynum cannabinum L.,Apocynum cannabinum,Greenish white,"jun, aug",Apocynaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,1138
Aquilegia canadensis L.,Aquilegia canadensis,"Scarlet, yellow","may, jul",Ranunculaceae,red,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,3711
Aquilegia vulgaris L.,Aquilegia vulgaris,"Blue, purple, white","apr, may",Ranunculaceae,blue,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,262
Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz,Arabis lyrata,White,"apr, may",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,406
Aralia hispida Vent.,Aralia hispida,Whitish,"jun, jul",Araliaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,224
Aralia nudicaulis L.,Aralia nudicaulis,Greenish white,"may, jun",Araliaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,856
Aralia racemosa L.,Aralia racemosa,Greenish white,jul,Araliaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,146
Arctium lappa L.,Arctium lappa,"Pink, purple","jul,sep",Asteraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,197
Arctium minus (Hill) Bernh.,Arctium minus,"Pink, purple","jul,sep",Asteraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,383
Arctostaphylos uva-ursi (L.) Spreng.,Arctostaphylos uva-ursi,"White, pale pink","may,jun",Ericaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,667
Arenaria serpyllifolia L.,Arenaria serpyllifolia,White,"may,sep",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,99
Arethusa bulbosa L.,Arethusa bulbosa,Magenta-pink,"June, July",Orchidaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,237
Arisaema dracontium (L.) Schott,Arisaema dracontium,Green,"April, June",Araceae,green,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,84
Arisaema triphyllum (L.) Schott,Arisaema atrorubens,Green and purple,"March, June",Araceae,green,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,5055
Arnoglossum atriplicifolium (L.) H.Rob.,Cacalia atriplicifolia,White,"jul,nov",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,39
Arnoglossum reniforme (Hook.) H.Rob.,Cacalia muhlenbergii,White,"jun,aug",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,9
Artemisia biennis Willd.,Artemisia biennis,Green,"aug,oct",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,2
Artemisia campestris L.,Artemisia caudata,Green,"jul,sep",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,8
Artemisia stelleriana Besser,Artemisia stelleriana,Yellowish,"jul,aug",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,18
Artemisia vulgaris L.,Artemisia vulgaris,Green,"jul,oct",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE,127
Aruncus dioicus (Walter) Fernald,Aruncus dioicus,White,"may, aug",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,22
Asarum canadense L.,Asarum canadense,Purple-brown,"apr, jun",Aristolochiaceae,purple,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,22
Asclepias amplexicaulis Sm.,Asclepias amplexicaulis,Greenish purple,"jun,jul",Apocynaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,106
Asclepias exaltata L.,Asclepias exaltata,Cream white,"jun,aug",Apocynaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,566
Asclepias incarnata L.,Asclepias incarnata,"Pink, rose purple","jun,sep",Apocynaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,1775
Asclepias purpurascens L.,Asclepias purpurascens,Purplish red,"jun,jul",Apocynaceae,red,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,155
Asclepias quadrifolia Jacq.,Asclepias quadrifolia,"Pale pink, white","may,jul",Apocynaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,183
Asclepias rubra L.,Asclepias rubra,Purplish red,"may,aug",Apocynaceae,red,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,TRUE,12
Asclepias sullivantii Engelm. ex A.Gray,Asclepias sullivantii,Greenish purple,"jun,aug",Apocynaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Asclepias syriaca L.,Asclepias syriaca,"Brownish pink, greenish purple","jun,aug",Apocynaceae,green,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,2951
Asclepias tuberosa L.,Asclepias tuberosa,Orange,"may, sep",Apocynaceae,orange,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,2257
Asclepias variegata L.,Asclepias veriegata,"White, purple","may,jul",Apocynaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,18
Asclepias verticillata L.,Asclepias verticillata,Greenish white,"jul,sep",Apocynaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,357
Asclepias viridiflora Raf.,Asclepias viridiflora,Green,"jun,aug",Apocynaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,89
Asparagus officinalis L.,Asparagus officinalis,Yellow-green,"may,jun",Asparagaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,36
Astragalus canadensis L.,Astragalus canadensis,"Cream, yellowish","May, July",Fabaceae,yellow,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,59
Atriplex patula L.,Atriplex patula,Green,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,79
Aureolaria flava (L.) Farw.,Gerardia flava,Yellow,"jul,sep",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,49
Aureolaria laevigata (Raf.) Raf.,Gerardia laevigata,Yellow,"jul,oct",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,8
Aureolaria pedicularia (L.) Raf. ex Pennell,Gerardia pedicularia,Yellow,"may,oct",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,88
Aureolaria virginica (L.) Pennell,Gerardia virginica,Yellow,"jun,aug",Orobanchaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,15
Baptisia australis (L.) R.Br.,Baptisia australis,Indigo-blue,"April, July",Fabaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,205
Baptisia tinctoria (L.) Vent.,Baptisia tinctoria,Yellow,"May, September",Fabaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,224
Barbarea verna (Mill.) Asch.,Barbarea verna,Yellow,"may, jul",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,17
Barbarea vulgaris (L.) W.T.Aiton,Barbarea vulgaris,Yellow,"apr, jun",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,1002
Bartonia virginica (L.) Britton & al.,Bartonia virginica,Yellowish,"aug, sep",Gentianaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,21
Berberis thunbergii DC.,Berberis thunbergii,Yellow,"apr,may",Berberidaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,528
Berberis vulgaris L.,Berberis vulgaris,Yellow,"may,jun",Berberidaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,117
Bidens beckii Torr. ex Spreng.,Megalodonta beckii,Yellow,"jul,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE,23
Bidens bipinnata L.,Bidens bipinnata,Greenish yellow,"jun,oct",Asteraceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,121
Bidens cernua L.,Bidens cernua,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,444
Bidens connata Muhl. ex Willd.,Bidens connata,Greenish yellow,"aug,oct",Asteraceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,60
Bidens frondosa L.,Bidens frondosa,"Greenish yellow, orange","jul,oct",Asteraceae,orange,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,287
Bidens laevis (L.) Britton & al.,Bidens laevis,Yellow,"jun,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,TRUE,22
Bidens vulgata Greene,Bidens vulgata,"Greenish yellow, pale yellow","aug,oct",Asteraceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE,49
Blephilia ciliata (L.) Benth.,Blephilia ciliata,Light purple,"may, aug",Lamiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,44
Blephilia hirsuta (Pursh) Benth.,Blephilia hirsuta,"Light purple, dark purple","may, sep",Lamiaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE,109
Boehmeria cylindrica (L.) Sw.,Boehmeria cylindrica,Greenish,"jul,sep",Urticaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,101
Borodinia canadensis (L.) P.J.Alexander & Windham,Arabis canadensis,Creamy white,"apr, jul",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,16
Borodinia laevigata (Muhl. ex Willd.) P.J.Alexander & Windham,Arabis laevigata,Greenish white,"mar, may",Brassicaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,95
Brasenia schreberi J.F.Gmel.,Brasenia schreberi,Dull purple,"jun,aug",Cabombaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,277
Brassica juncea (L.) Czern.,Brassica juncea,Yellow,"may, jun",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,TRUE,4
Brassica rapa L.,Brassica rapa,Yellow,"jun, jul",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,32
Brickellia eupatorioides (L.) Shinners,Kuhnia eupatorioides,White,"aug,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE,25
Butomus umbellatus L.,Butomus umbellatus,Rose,"jun, aug",Butomaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,328
Cakile edentula (Bigelow) Hook.,Cakile edentula,Light purple,"jul, sep",Brassicaceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE,287
Calla palustris L.,Calla palustris,White,"May, June",Araceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,346
Calopogon tuberosus (L.) Britton & al.,Calopogon tuberosus,Magenta-pink,"June, August",Orchidaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,460
Caltha palustris L.,Caltha palustris,Yellow,"apr, may",Ranunculaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,3244
Calypso bulbosa (L.) Oakes,Calypso bulbosa,Purple,"May, June",Orchidaceae,purple,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,TRUE,9
Calystegia spithamaea (L.) Pursh,Convolvulus spithamaeus,White,"jun, jul",Convolvulaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE,225
Camassia scilloides (Raf.) Cory,Camassia scilloides,Pale blue,"mar,jun",Agavaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,261
Campanula rotundifolia L.,Campanula rotundifolia,Violet-blue,"jun, oct",Campanulaceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE,530
Capnoides sempervirens (L.) Borkh.,Corydalis sempervirens,"Pink, yellow","may, sep",Fumariaceae,yellow,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,844
Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris,White,"and fruiting jan,oct",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,457
Cardamine angustata O.E.Schulz,Dentaria heterophylla,Pink,"mar, may",Brassicaceae,pink,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,47
Cardamine bulbosa (Schreb. ex Muhl.) Britton & al.,Cardamine bulbosa,White,"mar, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,203
Cardamine concatenata (Michx.) O.Schwarz,Dentaria laciniata,"White, pink","mar, may",Brassicaceae,pink,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,2120
Cardamine diphylla (Michx.) Alph.Wood,Dentaria diphylla,White,"mar, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,858
Cardamine dissecta (Leavenw.) Al-Shehbaz,Dentaria mutlifida,Pink,"mar, apr",Brassicaceae,pink,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,2
Cardamine douglasii Britton,Cardamine douglassii,"Rose-purple, pink","mar, apr",Brassicaceae,purple,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE,522
Cardamine maxima (Nutt.) Alph.Wood,Dentaria maxima,"White, pale purple","apr, jun",Brassicaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,9
Cardamine parviflora L.,Cardamine parviflora,White,"mar, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,10
Cardamine pensylvanica Muhl. ex Willd.,Cardamine pensylvanica,White,"feb, oct",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,150
Cardamine pratensis L.,Cardamine pratensis,"White, pinkish","apr,jun",Brassicaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,152
Cardamine rotundifolia Michx.,Cardamine rotundifolia,White,"apr, jun",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE,4
Carduus nutans L.,Carduus nutans,"Purple, white","jun,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,312
Carum carvi L.,Carum carvi,White,"jun, aug",Apiaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE,2
Castilleja coccinea (L.) Spreng.,Castilleja coccinea,"Scarlet, yellowish","January, September",Orobanchaceae,red,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE,325
Caulophyllum thalictroides (L.) Michx.,Caulophyllum thalictroides,"Yellow-green, purplish","apr,may",Berberidaceae,yellow,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,633
