taxon,species,color_desc,flowering_months,family,color_id,red,orange,yellow,green,blue,purple,pink,white,brown,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,inat_phen
Aplectrum hyemale (Muhl. ex Willd.) Nutt.,Aplectrum hyemale,"Purplish,yellowish-brown, white ","May, June",Orchidaceae,yellow,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
Apocynum androsaemifolium L.,Apocynum androsaemifolium,Pink,"jun, aug",Apocynaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Apocynum cannabinum L.,Apocynum cannabinum,Greenish white,"jun, aug",Apocynaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Apocynum floribundum_x Greene,Apocynum medium,Pale pink,"jun,aug",Apocynaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Aquilegia canadensis L.,Aquilegia canadensis,"Scarlet, yellow","may, jul",Ranunculaceae,red,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Aquilegia vulgaris L.,Aquilegia vulgaris,"Blue, purple, white","apr, may",Ranunculaceae,blue,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Borodinia canadensis (L.) P.J.Alexander & Windham,Arabis canadensis,Creamy white,"apr, jul",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Turritis glabra L.,Arabis glabra,Yellowish white,"mar, jul",Brassicaceae,yellow,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Arabis hirsuta (L.) Scop.,Arabis hirsuta,White,"may, jul",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE
Borodinia laevigata (Muhl. ex Willd.) P.J.Alexander & Windham,Arabis laevigata,Greenish white,"mar, may",Brassicaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz,Arabis lyrata,White,"apr, may",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Aralia hispida Vent.,Aralia hispida,Whitish,"jun, jul",Araliaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Aralia nudicaulis L.,Aralia nudicaulis,Greenish white,"may, jun",Araliaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Aralia racemosa L.,Aralia racemosa,Greenish white,jul,Araliaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Arctium lappa L.,Arctium lappa,"Pink, purple","jul,sep",Asteraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Arctium minus (Hill) Bernh.,Arctium minus,"Pink, purple","jul,sep",Asteraceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Arctostaphylos uva-ursi (L.) Spreng.,Arctostaphylos uva-ursi,"White, pale pink","may,jun",Ericaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Mononeuria caroliniana (Walter) Dillenb. & Rabeler,Arenaria caroliniana,White,"jun,jul",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Mononeuria groenlandica (Retz.) Dillenb. & Kadereit,Arenaria groenlandica,White,"jun,aug",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Pseudocherleria laricina (L.) Dillenb. & Kadereit,Arenaria lateriflora,White,"apr,aug",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,FALSE
Honckenya peploides (L.) Ehrh.,Arenaria peploides,White,"may,aug",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Arenaria serpyllifolia L.,Arenaria serpyllifolia,White,"may,sep",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Sabulina macra (A.Nelson & J.F.Macbr.) Dillenb. & Kadereit,Arenaria stricta,White,"may,jul",Caryophyllaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE
Arethusa bulbosa L.,Arethusa bulbosa,Magenta-pink,"June, July",Orchidaceae,pink,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Arisaema triphyllum (L.) Schott,Arisaema atrorubens,Green and purple,"March, June",Araceae,green,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Arisaema dracontium (L.) Schott,Arisaema dracontium,Green,"April, June",Araceae,green,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Aristolochia serpentaria L.,Aristolochia serpentaria,Brownish-purple,"apr, jun",Aristolochiaceae,purple,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Rorippa aquatica (D.C.Eaton) E.J.Palmer & Steyerm.,Armoracia aquatica,White,"jun, aug",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,FALSE
Armoracia rusticana G.Gaertn. & al.,Armoracia lapathifolia,White,"may, jul",Brassicaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Arnica acaulis (Walter) Britton & al.,Arnica acaulis,Yellow,"apr,jun",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Arnica mollis Hook.,Arnica mollis,Yellow,"jun,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Arnoseris minima (L.) Schweigg. & Körte,Arnoseris minima,Yellow,"jun,sep",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,FALSE
Artemisia biennis Willd.,Artemisia biennis,Green,"aug,oct",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Artemisia campestris L.,Artemisia caudata,Green,"jul,sep",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Artemisia stelleriana Besser,Artemisia stelleriana,Yellowish,"jul,aug",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Artemisia vulgaris L.,Artemisia vulgaris,Green,"jul,oct",Asteraceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Aruncus dioicus (Walter) Fernald,Aruncus dioicus,White,"may, aug",Rosaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Asarum canadense L.,Asarum canadense,Purple-brown,"apr, jun",Aristolochiaceae,purple,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Asclepias amplexicaulis Sm.,Asclepias amplexicaulis,Greenish purple,"jun,jul",Apocynaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Asclepias exaltata L.,Asclepias exaltata,Cream white,"jun,aug",Apocynaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Asclepias incarnata L.,Asclepias incarnata,"Pink, rose purple","jun,sep",Apocynaceae,purple,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Asclepias purpurascens L.,Asclepias purpurascens,Purplish red,"jun,jul",Apocynaceae,red,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Asclepias quadrifolia Jacq.,Asclepias quadrifolia,"Pale pink, white","may,jul",Apocynaceae,pink,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Asclepias rubra L.,Asclepias rubra,Purplish red,"may,aug",Apocynaceae,red,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,TRUE
Asclepias sullivantii Engelm. ex A.Gray,Asclepias sullivantii,Greenish purple,"jun,aug",Apocynaceae,green,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Asclepias syriaca L.,Asclepias syriaca,"Brownish pink, greenish purple","jun,aug",Apocynaceae,green,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Asclepias tuberosa L.,Asclepias tuberosa,Orange,"may, sep",Apocynaceae,orange,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Asclepias variegata L.,Asclepias veriegata,"White, purple","may,jul",Apocynaceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Asclepias verticillata L.,Asclepias verticillata,Greenish white,"jul,sep",Apocynaceae,green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Asclepias viridiflora Raf.,Asclepias viridiflora,Green,"jun,aug",Apocynaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Asparagus officinalis L.,Asparagus officinalis,Yellow-green,"may,jun",Asparagaceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Oclemena acuminata (Michx.) Greene,Aster acuminatus,"White, purple","aug,sep",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Symphyotrichum concolor (L.) G.L.Nesom,Aster concolor,Lilac,"aug,dec",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,TRUE
Symphyotrichum cordifolium (L.) G.L.Nesom,Aster cordifolius,"Blue-violet, rose","aug,oct",Asteraceae,blue,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Galatella divaricata (Fisch. ex M.Bieb.) Novopokr.,Aster divaricatus,White,"aug,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Aster dumosus Hoffm.,Aster dumosus,"Pale lavender, white","sep,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,TRUE
Symphyotrichum ericoides (L.) G.L.Nesom,Aster ericoides,White,"aug,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Doellingeria infirma (Michx.) Greene,Aster infirmus,White,"jul,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Symphyotrichum boreale (Torr. & A.Gray) Á.Löve & D.Löve,Aster junciformis,"Violet, rose, white","jul,oct",Asteraceae,purple,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Symphyotrichum laeve (L.) Á.Löve & D.Löve,Aster laevis,"Blue, violet","aug,oct",Asteraceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,TRUE
Symphyotrichum lateriflorum (L.) Á.Löve & D.Löve,Aster lateriflorus,"White, purple","aug,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Ionactis linearifolia (L.) Greene,Aster linariifolius,Violet,"oct,nov",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Eurybia macrophylla (L.) Cass.,Aster macrophyllus,"Violet, lavender","jul,oct",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Oclemena nemoralis (Dryand. ex Aiton) Greene,Aster nemoralis,"Light violet, purple","jun,sep",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Symphyotrichum novae-angliae (L.) G.L.Nesom,Aster novae-angliae,"Violet-purple, rose, white","aug,oct",Asteraceae,purple,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Symphyotrichum novi-belgii (L.) G.L.Nesom,Aster novi-belgii,Violet,"jul,oct",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,TRUE
Symphyotrichum pilosum (Willd.) G.L.Nesom,Aster pilosus,White,"aug,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Symphyotrichum prenanthoides (Muhl. ex Willd.) G.L.Nesom,Aster prenanthoides,Blue-violet,"aug,oct",Asteraceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Solidago ptarmicoides (Torr. & A.Gray) B.Boivin,Aster ptarmicoides,White,"jul,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Eurybia radula (Aiton) G.L.Nesom,Aster radula,Violet,"aug,sep",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,TRUE
Symphyotrichum undulatum (L.) G.L.Nesom,Aster sagittifolius,"Blue, pinkish, white","aug,nov",Asteraceae,blue,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Eurybia schreberi (Nees) Nees,Aster schreberi,White,"aug,sep",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,TRUE
Symphyotrichum shortii (Lindl. ex Hook.) G.L.Nesom,Aster shortii,Pale violet,"sep,oct",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Miyamayomena simplex (Hand.-Mazz.) Y.L.Chen,Aster simplex,"White, violet","jun,sep",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Eurybia spectabilis (Aiton) G.L.Nesom,Aster spectabilis,Bright violet,"aug,nov",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Aster subulatus Michx.,Aster subulatus,Purplish,"aug,oct",Asteraceae,purple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Symphyotrichum racemosum (Elliott) G.L.Nesom,Aster tenuifolius,"Pale purple, white","aug,oct",Asteraceae,purple,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRUE
Doellingeria umbellata (Mill.) Nees,Aster umbellatus,White,"jul,oct",Asteraceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Symphyotrichum patens (Dryand. ex Aiton) G.L.Nesom,Aster undulatus,Light blue-violet,"aug,nov",Asteraceae,blue,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,TRUE
Astragalus canadensis L.,Astragalus canadensis,"Cream, yellowish","May, July",Fabaceae,yellow,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE
Atriplex laciniata L.,Atriplex arenaria,Green,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE
Atriplex patula L.,Atriplex patula,Green,"jul,sep",Amaranthaceae,green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Baptisia alba (L.) Vent.,Baptisia alba,White,"April, July",Fabaceae,white,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,TRUE
Baptisia australis (L.) R.Br.,Baptisia australis,Indigo-blue,"April, July",Fabaceae,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Baptisia tinctoria (L.) Vent.,Baptisia tinctoria,Yellow,"May, September",Fabaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,TRUE
Barbarea verna (Mill.) Asch.,Barbarea verna,Yellow,"may, jul",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Barbarea vulgaris (L.) W.T.Aiton,Barbarea vulgaris,Yellow,"apr, jun",Brassicaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,TRUE
Bartonia virginica (L.) Britton & al.,Bartonia virginica,Yellowish,"aug, sep",Gentianaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Iris domestica (L.) Goldblatt & Mabb.,Belamcanda chinensis,"Orange, red","jul,aug",Iridaceae,red,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
Berberis thunbergii DC.,Berberis thunbergii,Yellow,"apr,may",Berberidaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
Berberis vulgaris L.,Berberis vulgaris,Yellow,"may,jun",Berberidaceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
Bidens bipinnata L.,Bidens bipinnata,Greenish yellow,"jun,oct",Asteraceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Bidens cernua L.,Bidens cernua,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Bidens connata Muhl. ex Willd.,Bidens connata,Greenish yellow,"aug,oct",Asteraceae,yellow,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
Bidens pilosa L.,Bidens coronata,Yellow,"aug,oct",Asteraceae,yellow,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,TRUE
Bidens frondosa L.,Bidens frondosa,"Greenish yellow, orange","jul,oct",Asteraceae,orange,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,TRUE
